matricule_camion;date_trans;type_camion;kilometrage;quantite_station;quantite_gps;carburant_estime;ecart_pompe_litres;ecart_estime_gps;ecart_estime_pct;statut
5501 TU 205;2026-01-13 16:23:04+00:00;SURG;516;70.53;68.74;70.41;1.79;-1.67;2.37;normal
8567 TU 204;2026-01-13 15:36:01+00:00;NPR;345;50.38;45.97;66.71;4.41;-20.74;31.09;anomalie_conso
966 TU 216;2026-01-13 15:24:19+00:00;NPR;628;71.54;66.86;74.16;4.68;-7.3;9.84;anomalie_conso
9914 TU 215;2026-01-13 15:03:11+00:00;NPR;428;65.49;65.43;65.09;0.06;0.34;0.52;normal
3278 TU 198;2026-01-13 15:00:14+00:00;NPR;407;74.56;74.43;74.37;0.13;0.06;0.08;normal
2486 TU 192;2026-01-13 13:56:20+00:00;NPR;382;77.08;65.56;58.21;11.52;7.35;12.62;anomalie_critique
4931 TU 199;2026-01-13 13:37:26+00:00;SURG;1032;75.57;68.59;92.9;6.98;-24.31;26.17;anomalie_conso
8580 TU 232;2026-01-13 13:25:52+00:00;NPR;439;87.66;79.78;59.5;7.88;20.28;34.08;anomalie_critique
1229 TU 189;2026-01-13 12:46:40+00:00;NPR;555;80.6;80.18;80.8;0.42;-0.62;0.76;normal
2771 TU 229;2026-01-13 12:03:45+00:00;NPR;361;65.48;66.67;65.4;1.19;1.27;1.95;normal
6684 TU 223;2026-01-13 12:03:01+00:00;NPR;487;73.55;72.75;73.99;0.8;-1.24;1.68;normal
8335 TU 215;2026-01-13 11:41:14+00:00;NPR;899;50.38;48.35;49.97;2.03;-1.62;3.25;normal
834 TU 181;2026-01-13 11:36:24+00:00;SURG;608;57.93;59.25;58.05;1.32;1.2;2.06;normal
3841 TU 166;2026-01-13 11:24:57+00:00;SURG;532;65.49;66.3;65.57;0.81;0.73;1.12;normal
2816 TU 173;2026-01-13 11:10:14+00:00;NPR;271;50.38;48.91;51.78;1.47;-2.87;5.54;normal
2775 TU 229;2026-01-13 10:15:57+00:00;NPR;928;51.89;53.85;51.99;1.96;1.86;3.57;normal
2150 TU 174;2026-01-13 09:58:58+00:00;NPR;414;52.9;52.89;52.9;0.01;-0.01;0.02;normal
2222 TU 173;2026-01-13 09:38:08+00:00;NPR;297;43.83;45.57;43.86;1.74;1.71;3.91;normal
8572 TU 232;2026-01-13 08:36:27+00:00;NPR;1492;88.16;86.49;89.58;1.67;-3.09;3.45;normal
8176 TU 236;2026-01-13 08:10:02+00:00;SURG;190;75.57;66.84;31.08;8.73;35.76;115.03;anomalie_critique
2155 TU 174;2026-01-13 07:59:17+00:00;NPR;283;44.84;49.23;48.78;4.39;0.45;0.92;normal
1181 TU 202;2026-01-13 05:44:59+00:00;NPR;415;82.02;73.97;67.9;8.05;6.07;8.93;anomalie_critique
8572 TU 204;2026-01-13 05:23:54+00:00;NPR;337;52.9;18.71;67.27;34.19;-48.56;72.19;anomalie_critique
8012 TU 204;2026-01-13 05:07:22+00:00;NPR;490;76.57;74.79;76.74;1.78;-1.95;2.54;normal
4924 TU 199;2026-01-12 19:54:18+00:00;SURG;417;52.9;49.33;52.83;3.57;-3.5;6.62;normal
4963 TU 204;2026-01-12 19:28:12+00:00;TFR;472;25.19;30.62;66.48;5.43;-35.86;53.94;anomalie_conso
4965 TU 204;2026-01-12 18:43:08+00:00;TFR;392;42.82;18.56;64.61;24.26;-46.05;71.27;anomalie_critique
6068 TU 197;2026-01-12 17:47:57+00:00;NPR;329;57.93;62.4;54.83;4.47;7.57;13.81;anomalie_conso
8579 TU 232;2026-01-12 14:01:38+00:00;NPR;278;49.37;47.59;49.5;1.78;-1.91;3.86;normal
6062 TU 197;2026-01-12 13:47:36+00:00;NPR;217;35.26;32.72;36.51;2.54;-3.79;10.39;anomalie_conso
5129 TU 203;2026-01-12 12:51:13+00:00;IVC;633;229.22;178.0;192.75;51.22;-14.75;7.65;anomalie_critique
1059 TU 189;2026-01-12 11:42:46+00:00;NPR;971;73.05;72.43;72.89;0.62;-0.46;0.64;normal
8317 TU 215;2026-01-12 11:11:24+00:00;NPR;335;50.38;50.35;50.5;0.03;-0.15;0.3;normal
8567 TU 204;2026-01-12 10:47:04+00:00;NPR;310;60.45;59.5;60.36;0.95;-0.86;1.42;normal
9664 TU 177;2026-01-12 10:39:39+00:00;NPR;523;75.57;76.31;75.26;0.74;1.05;1.39;normal
5083 TU 175;2026-01-12 10:07:13+00:00;NPR;404;70.53;55.53;56.48;15.0;-0.95;1.68;fraude_station
8331 TU 215;2026-01-12 10:06:07+00:00;NPR;871;65.49;62.72;65.42;2.77;-2.7;4.12;normal
4924 TU 199;2026-01-12 10:01:00+00:00;SURG;505;55.42;51.24;57.12;4.18;-5.88;10.29;anomalie_conso
9878 TU 188;2026-01-12 09:53:16+00:00;IVC;1014;251.89;229.5;298.97;22.39;-69.47;23.24;anomalie_critique
8572 TU 204;2026-01-12 09:38:22+00:00;NPR;373;72.04;26.27;56.93;45.77;-30.66;53.85;anomalie_critique
4568 TU 169;2026-01-12 08:48:33+00:00;NPR;407;72.54;75.54;67.35;3.0;8.19;12.15;anomalie_conso
9916 TU 215;2026-01-12 08:06:47+00:00;NPR;341;61.96;60.59;59.82;1.37;0.77;1.29;normal
4579 TU 169;2026-01-12 07:50:45+00:00;NPR;410;78.09;79.07;79.9;0.98;-0.83;1.04;normal
7024 TU 189;2026-01-12 07:32:26+00:00;NPR;784;70.53;67.55;70.94;2.98;-3.39;4.78;normal
4965 TU 204;2026-01-12 07:07:14+00:00;TFR;392;42.82;32.68;70.58;10.14;-37.9;53.7;anomalie_critique
4601 TU 169;2026-01-12 06:45:52+00:00;NPR;564;75.57;78.65;75.81;3.08;2.84;3.74;normal
2222 TU 173;2026-01-12 05:37:25+00:00;NPR;138;22.17;24.18;35.89;2.01;-11.71;32.63;anomalie_conso
8567 TU 204;2026-01-12 04:09:52+00:00;NPR;390;75.57;76.05;75.52;0.48;0.53;0.7;normal
9610 TU 204;2026-01-12 03:17:27+00:00;NPR;740;71.03;51.55;74.42;19.48;-22.87;30.73;anomalie_critique
601 TU 240;2026-01-11 18:51:39+00:00;IVC;791;103.27;163.4;204.35;60.13;-40.95;20.04;anomalie_critique
8580 TU 232;2026-01-11 15:33:03.010000+00:00;NPR;281;46.85;47.59;46.75;0.74;0.84;1.8;normal
2150 TU 174;2026-01-11 15:24:00+00:00;NPR;429;64.65;66.05;64.72;1.4;1.33;2.06;normal
2222 TU 173;2026-01-11 14:34:53+00:00;NPR;179;32.75;33.44;32.78;0.69;0.66;2.03;normal
2816 TU 173;2026-01-11 13:45:32+00:00;NPR;480;75.57;69.25;76.95;6.32;-7.7;10.01;anomalie_conso
5083 TU 175;2026-01-11 13:14:55+00:00;NPR;311;50.38;16.59;51.57;33.79;-34.98;67.83;anomalie_critique
8012 TU 204;2026-01-11 12:44:59+00:00;NPR;427;71.54;69.16;71.5;2.38;-2.34;3.27;normal
4568 TU 169;2026-01-11 12:06:14+00:00;NPR;497;80.6;40.51;73.46;40.09;-32.95;44.85;anomalie_critique
2374 TU 173;2026-01-11 11:33:08+00:00;NPR;427;70.53;69.6;70.28;0.93;-0.68;0.97;normal
2771 TU 229;2026-01-11 11:30:48+00:00;NPR;341;67.0;69.05;67.21;2.05;1.84;2.73;normal
6306 TU 197;2026-01-11 11:28:01+00:00;IVC;848;258.94;248.31;258.97;10.63;-10.66;4.12;fraude_station
2486 TU 192;2026-01-11 11:21:09+00:00;NPR;437;71.03;58.8;62.84;12.23;-4.04;6.43;fraude_station
9914 TU 215;2026-01-11 11:15:52+00:00;NPR;430;70.53;69.46;70.68;1.07;-1.22;1.72;normal
6062 TU 197;2026-01-11 10:52:31+00:00;NPR;196;30.23;29.98;30.26;0.25;-0.28;0.92;normal
2156 TU 174;2026-01-11 09:43:06+00:00;NPR;408;56.93;54.28;58.41;2.65;-4.13;7.07;anomalie_conso
8572 TU 204;2026-01-11 09:06:04+00:00;NPR;426;74.56;28.84;70.02;45.72;-41.18;58.81;anomalie_critique
2486 TU 192;2026-01-11 08:37:10+00:00;NPR;437;71.03;10.32;62.68;60.71;-52.36;83.54;anomalie_critique
8579 TU 232;2026-01-11 08:36:34+00:00;NPR;392;75.06;72.38;75.68;2.68;-3.3;4.35;normal
6688 TU 223;2026-01-11 08:31:43+00:00;NPR;448;70.53;66.02;72.45;4.51;-6.43;8.87;anomalie_conso
6068 TU 197;2026-01-11 08:29:32+00:00;NPR;428;70.53;76.75;64.06;6.22;12.69;19.8;anomalie_conso
4935 TU 199;2026-01-11 08:04:28+00:00;SURG;575;82.12;80.58;82.42;1.54;-1.84;2.24;normal
6684 TU 223;2026-01-11 07:37:03+00:00;NPR;401;75.57;67.79;62.72;7.78;5.07;8.09;anomalie_critique
2222 TU 173;2026-01-11 06:50:38+00:00;NPR;200;31.74;33.37;31.77;1.63;1.6;5.05;normal
601 TU 240;2026-01-11 06:28:10+00:00;IVC;791;103.27;94.6;247.46;8.67;-152.86;61.77;anomalie_critique
7558 TU 198;2026-01-11 05:18:01+00:00;NPR;343;54.41;17.4;55.29;37.01;-37.89;68.53;anomalie_critique
6062 TU 197;2026-01-10 17:21:53+00:00;NPR;282;47.86;46.83;46.44;1.03;0.39;0.83;normal
8012 TU 204;2026-01-10 17:09:08+00:00;NPR;317;52.9;53.49;52.96;0.59;0.53;1.0;normal
5083 TU 175;2026-01-10 16:44:10+00:00;NPR;467;80.6;12.13;66.7;68.47;-54.57;81.81;anomalie_critique
4568 TU 169;2026-01-10 16:27:11+00:00;NPR;487;71.03;36.09;82.82;34.94;-46.73;56.43;anomalie_critique
8580 TU 232;2026-01-10 16:21:01+00:00;NPR;420;65.49;65.4;66.2;0.09;-0.8;1.21;normal
4965 TU 204;2026-01-10 15:20:53+00:00;TFR;273;30.23;12.47;46.79;17.76;-34.32;73.35;anomalie_critique
9616 TU 204;2026-01-10 12:26:58+00:00;NPR;288;50.38;51.47;49.08;1.09;2.39;4.87;normal
4597 TU 169;2026-01-10 12:08:22+00:00;NPR;993;80.6;83.05;82.32;2.45;0.73;0.89;normal
2767 TU 229;2026-01-10 11:52:26+00:00;NPR;511;76.07;73.38;76.31;2.69;-2.93;3.84;normal
2150 TU 174;2026-01-10 11:41:20+00:00;NPR;559;78.59;77.55;78.93;1.04;-1.38;1.74;normal
2714 TU 210;2026-01-10 10:30:29+00:00;NPR;397;62.64;67.32;68.27;4.68;-0.95;1.39;normal
1229 TU 189;2026-01-10 10:30:10+00:00;NPR;287;60.45;59.5;59.96;0.95;-0.46;0.77;normal
2374 TU 173;2026-01-10 09:56:59+00:00;NPR;591;85.64;85.01;85.65;0.63;-0.64;0.75;normal
2222 TU 173;2026-01-10 09:55:58+00:00;NPR;208;32.75;33.51;32.79;0.76;0.72;2.2;normal
966 TU 216;2026-01-10 09:43:25+00:00;NPR;581;51.89;51.15;51.68;0.74;-0.53;1.02;normal
6311 TU 197;2026-01-10 09:14:01+00:00;IVC;787;221.41;217.46;221.09;3.95;-3.63;1.64;normal
8579 TU 232;2026-01-10 09:08:09+00:00;NPR;485;80.6;66.85;72.91;13.75;-6.06;8.31;anomalie_critique
8572 TU 204;2026-01-10 08:51:36+00:00;NPR;368;64.99;25.34;68.21;39.65;-42.87;62.85;anomalie_critique
4568 TU 169;2026-01-10 08:39:13+00:00;NPR;487;71.03;64.05;83.1;6.98;-19.05;22.92;anomalie_conso
4965 TU 204;2026-01-10 07:59:34+00:00;TFR;273;30.23;20.75;47.88;9.48;-27.13;56.67;anomalie_critique
2155 TU 174;2026-01-10 07:18:33+00:00;NPR;232;41.31;46.2;46.68;4.89;-0.48;1.04;normal
2486 TU 192;2026-01-10 06:37:49+00:00;NPR;293;55.42;43.58;51.91;11.84;-8.33;16.04;anomalie_critique
2769 TU 229;2026-01-10 06:16:35+00:00;NPR;394;81.61;75.87;67.21;5.74;8.66;12.89;anomalie_conso
2770 TU 229;2026-01-10 06:15:24+00:00;NPR;111;30.73;30.3;30.71;0.43;-0.41;1.33;normal
9914 TU 215;2026-01-10 06:08:57+00:00;NPR;434;66.5;62.66;66.36;3.84;-3.7;5.58;normal
6068 TU 197;2026-01-10 05:38:23+00:00;NPR;257;45.34;50.13;48.43;4.79;1.7;3.51;normal
8567 TU 204;2026-01-10 04:18:24+00:00;NPR;963;83.12;56.36;84.58;26.76;-28.22;33.37;anomalie_critique
