matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
6068 TU 197;2026-01-12T17:47:57.000Z;329;NPR;16;237.1026677;18;1;36.779978;10.196243;57.93;62.40;ensoleillé;0;route_principale;تونس;ville;ولاية تونس;inconnu
8579 TU 232;2026-01-12T14:01:38.000Z;278;NPR;16;426.256605;15;1;36.579983;10.492673;49.37;47.59;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
6062 TU 197;2026-01-12T13:47:36.000Z;217;NPR;16;211.0556382;14;1;36.666603;10.448308;35.26;32.72;nuageux;3;route_principale;فندق الجديد;ville;ولاية نابل;معتمدية قرمبالية
5129 TU 203;2026-01-12T12:51:13.000Z;633;IVC;27;176;13;1;36.527130;10.554757;229.22;178.00;ensoleillé;0;route_principale;بو عرقوب الشمالية;ville;ولاية نابل;معتمدية بو عرقوب
2486 TU 192;2026-01-12T12:33:49.000Z;311;NPR;16;439.8121212;13;1;36.757300;10.223162;60.45;38.53;nuageux;2;inconnu;بن عروس;ville;ولاية بن عروس;معتمدية بن عروس
1059 TU 189;2026-01-12T11:42:46.000Z;971;NPR;16;188.9638554;12;1;35.771395;10.691690;73.05;72.43;ensoleillé;0;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
8317 TU 215;2026-01-12T11:11:24.000Z;335;NPR;16;211.0556382;12;1;36.711760;10.180318;50.38;50.35;nuageux;2;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
9610 TU 204;2026-01-12T10:53:28.000Z;740;NPR;16;496.2962963;11;1;33.705350;8.966690;71.03;82.26;ensoleillé;0;inconnu;منصورة;ville;ولاية قبلي;معتمدية قبلي الشمالية
8567 TU 204;2026-01-12T10:47:04.000Z;310;NPR;16;189.6059078;11;1;33.879740;9.786255;60.45;59.50;ensoleillé;0;route_principale;الحبيب ثامر;ville;ولاية قابس;معتمدية الحامة
9616 TU 204;2026-01-12T10:43:05.000Z;470;NPR;16;162.372549;11;1;36.723562;10.230492;88.16;89.15;peu nuageux;1;inconnu;فرحات حشاد;ville;ولاية بن عروس;معتمدية المروج
4958 TU 204;2026-01-12T10:42:26.000Z;1875;TFR;9;171.5888307;11;1;35.837518;10.630588;50.38;67.82;ensoleillé;0;inconnu;سوسة;ville;ولاية سوسة;معتمدية سوسة المدينة
9664 TU 177;2026-01-12T10:39:39.000Z;523;NPR;16;211.0556382;11;1;36.711798;10.180330;75.57;76.31;ensoleillé;0;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
5083 TU 175;2026-01-12T10:07:13.000Z;404;NPR;16;433.7054208;11;1;36.739137;10.136827;70.53;55.53;ensoleillé;0;route_principale;تونس;ville;ولاية تونس;معتمدية فوشانة
8331 TU 215;2026-01-12T10:06:07.000Z;871;NPR;16;237.7567164;11;1;35.771403;10.691612;65.49;62.72;ensoleillé;0;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
4924 TU 199;2026-01-12T10:01:00.000Z;505;SURG;15;182.3903369;11;1;34.414418;8.806710;55.42;51.24;ensoleillé;0;route_principale;قفصة الشرقية;ville;ولاية قفصة;معتمدية قفصة الجنوبية
9878 TU 188;2026-01-12T09:53:16.000Z;1014;IVC;26;160.65;10;1;36.579903;10.492463;251.89;229.50;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
8572 TU 204;2026-01-12T09:38:22.000Z;373;NPR;16;211.0556382;10;1;34.974315;8.595277;72.04;26.27;ensoleillé;0;route_principale;تلابت;ville;ولاية القصرين;معتمدية فريانة
8169 TU 236;2026-01-12T09:12:55.000Z;444;;;328.0379747;10;1;36.711768;10.180298;68.01;69.62;peu nuageux;1;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
4568 TU 169;2026-01-12T08:48:33.000Z;407;NPR;16;211.0556382;9;1;34.739415;10.528870;72.54;75.54;nuageux;2;route_secondaire;عقارب;ville;ولاية صفاقس;معتمدية عقارب
9916 TU 215;2026-01-12T08:06:47.000Z;341;NPR;16;104.6408451;9;1;36.711670;10.180275;61.96;60.59;nuageux;2;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
4579 TU 169;2026-01-12T07:50:45.000Z;410;NPR;16;96.56185567;8;1;35.771435;10.691377;78.09;79.07;ensoleillé;0;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
7024 TU 189;2026-01-12T07:32:26.000Z;784;NPR;16;153.7285442;8;1;35.771360;10.691678;70.53;67.55;ensoleillé;0;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
4965 TU 204;2026-01-12T07:07:14.000Z;392;TFR;9;361.4550409;8;1;36.695568;10.176925;42.82;32.68;nuageux;3;route_secondaire;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
4601 TU 169;2026-01-12T06:45:52.000Z;564;NPR;16;249.5481728;7;1;35.596408;9.858060;75.57;78.65;nuageux;3;route_principale;الشبيكة;ville;ولاية القيروان;معتمدية الشبيكة
2222 TU 173;2026-01-12T05:37:25.000Z;138;NPR;16;255.557377;6;1;36.796453;10.141460;22.17;24.18;nuageux;2;route_secondaire;تونس;ville;ولاية تونس;inconnu
8567 TU 204;2026-01-12T04:09:52.000Z;390;NPR;16;189.6059078;5;1;35.568027;10.612450;75.57;76.05;ensoleillé;0;autoroute;الهدادرة;ville;ولاية المنستير;معتمدية جمّال
9610 TU 204;2026-01-12T03:17:27.000Z;740;NPR;16;496.2962963;4;1;35.733567;10.734512;71.03;51.55;ensoleillé;0;route_principale;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
601 TU 240;2026-01-11T18:51:39.000Z;791;IVC;25;430;19;0;35.722352;10.752687;103.27;163.40;peu nuageux;1;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
8176 TU 236;2026-01-11T17:22:10.000Z;708;SURG;15;142.4242424;18;0;36.728498;9.201783;25.19;21.83;peu nuageux;1;route_principale;سيدي فرج;ville;ولاية باجة;معتمدية باجة الجنوبية
7034 TU 189;2026-01-11T17:00:42.000Z;467;NPR;16;211.0556382;18;0;36.408140;10.561912;73.05;71.70;ensoleillé;0;inconnu;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
8580 TU 232;2026-01-11T15:33:03.010Z;281;NPR;16;436.8998628;16;0;36.579828;10.492600;46.85;47.59;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2150 TU 174;2026-01-11T15:24:00.000Z;429;NPR;16;100.2975207;16;0;36.579973;10.492588;64.65;66.05;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2222 TU 173;2026-01-11T14:34:53.000Z;179;NPR;16;255.557377;15;0;36.579932;10.492492;32.75;33.44;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2816 TU 173;2026-01-11T13:45:32.000Z;480;NPR;16;206.156962;14;0;36.579910;10.492647;75.57;69.25;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
5083 TU 175;2026-01-11T13:14:55.000Z;311;NPR;16;433.7054208;14;0;36.711637;10.180310;50.38;16.59;ensoleillé;0;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
8012 TU 204;2026-01-11T12:44:59.000Z;427;NPR;16;219.1988347;13;0;36.445372;9.253972;71.54;69.16;pluie;51;route_secondaire;تبرسق;ville;ولاية باجة;معتمدية تبرسق
4568 TU 169;2026-01-11T12:06:14.000Z;497;NPR;16;211.0556382;13;0;34.883782;10.726012;80.60;40.51;nuageux;2;route_principale;سيدي صالح;ville;ولاية صفاقس;معتمدية ساقية الزيت
2374 TU 173;2026-01-11T11:33:08.000Z;427;NPR;16;72.05725191;12;0;36.332338;9.139255;70.53;69.60;pluie;51;route_principale;الكريب;ville;ولاية سليانة;معتمدية الكريب
2771 TU 229;2026-01-11T11:30:48.000Z;341;NPR;16;177.3341788;12;0;36.801933;10.111122;67.00;69.05;ensoleillé;0;route_principale;الدندان الجنوبية;ville;ولاية منوبة;معتمدية منوبة
6306 TU 197;2026-01-11T11:28:01.000Z;848;IVC;26;365.79;12;0;36.580037;10.492688;258.94;248.31;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
2486 TU 192;2026-01-11T11:21:09.000Z;437;NPR;16;439.8121212;12;0;36.596430;10.116300;71.03;58.80;ensoleillé;0;route_principale;سيدي فرج;ville;ولاية بن عروس;معتمدية المحمدية
9914 TU 215;2026-01-11T11:15:52.000Z;430;NPR;16;263.7600644;12;0;36.683870;10.579803;70.53;69.46;ensoleillé;0;route_secondaire;منزل بوزلفة;ville;ولاية نابل;معتمدية منزل بوزلفة
6062 TU 197;2026-01-11T10:52:31.000Z;196;NPR;16;211.0556382;11;0;36.473393;10.718985;30.23;29.98;ensoleillé;0;route_principale;النور;ville;ولاية نابل;معتمدية نابل
2156 TU 174;2026-01-11T09:43:06.000Z;408;NPR;16;123.6363636;10;0;36.831032;10.200577;56.93;54.28;peu nuageux;1;autoroute;تونس;ville;ولاية تونس;inconnu
8572 TU 204;2026-01-11T09:06:04.000Z;426;NPR;16;211.0556382;10;0;35.257128;10.652445;74.56;28.84;peu nuageux;1;autoroute;العيثة;ville;ولاية المهدية;معتمدية الجم
2486 TU 192;2026-01-11T08:37:10.000Z;437;NPR;16;439.8121212;9;0;36.711702;10.180275;71.03;10.32;peu nuageux;1;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
