matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
9134 TU 135;2026-01-10T08:55:08.000Z;1000;NKR;15;178.9682136;9;6;37.244278;9.760105;47.36;47.48;nuageux;3;route_principale;سيدي أحمد;ville;ولاية بنزرت;معتمدية بنزرت الجنوبية
8572 TU 204;2026-01-10T08:51:36.000Z;368;NPR;16;211.0556382;9;6;35.664552;10.103248;64.99;25.34;ensoleillé;0;route_principale;القيروان;ville;ولاية القيروان;معتمدية القيروان الجنوبية
4568 TU 169;2026-01-10T08:39:13.000Z;487;NPR;16;211.0556382;9;6;35.721563;10.754632;71.03;64.05;peu nuageux;1;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
2816 TU 173;2026-01-10T08:28:22.000Z;507;NPR;16;206.156962;9;6;36.836210;9.941412;75.57;69.57;pluie;51;inconnu;الجديدة;ville;ولاية منوبة;معتمدية الجديدة
4965 TU 204;2026-01-10T07:59:34.000Z;273;TFR;9;361.4550409;8;6;36.580005;10.492380;30.23;20.75;nuageux;3;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
8317 TU 215;2026-01-10T07:44:08.000Z;333;NPR;16;211.0556382;8;6;37.264258;9.886520;55.42;57.65;pluie;51;inconnu;جرزونة;ville;ولاية بنزرت;معتمدية جرزونة
2155 TU 174;2026-01-10T07:18:33.000Z;232;NPR;16;443.1750831;8;6;35.693113;10.838330;41.31;46.20;ensoleillé;0;route_secondaire;قصيبة المديوني;ville;ولاية المنستير;معتمدية قصيبة المديوني
2486 TU 192;2026-01-10T06:37:49.000Z;293;NPR;16;439.8121212;7;6;35.944387;10.510593;55.42;43.58;nuageux;2;autoroute;سيدي بو علي;ville;ولاية سوسة;معتمدية سيدي بو علي
2769 TU 229;2026-01-10T06:16:35.000Z;394;NPR;16;184.027972;7;6;36.777650;10.094728;81.61;75.87;pluie;51;route_principale;تونس;ville;ولاية تونس;inconnu
2770 TU 229;2026-01-10T06:15:24.000Z;111;NPR;16;327.2623302;7;6;36.782292;10.119755;30.73;30.30;pluie;51;route_secondaire;تونس;ville;ولاية تونس;inconnu
9914 TU 215;2026-01-10T06:08:57.000Z;434;NPR;16;263.7600644;7;6;36.407532;10.560785;66.50;62.66;peu nuageux;1;route_principale;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
6068 TU 197;2026-01-10T05:38:23.000Z;257;NPR;16;237.1026677;6;6;36.777623;10.094658;45.34;50.13;nuageux;2;route_principale;تونس;ville;ولاية تونس;inconnu
8567 TU 204;2026-01-10T04:18:24.000Z;963;NPR;16;189.6059078;5;6;35.722348;10.752565;83.12;56.36;ensoleillé;0;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
